NPS Traffic Count Query Builder,,,,,,
,,,,,,
Park,Unit Code,Park Type,Region,Traffic Counter,Year,Traffic Count
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2007,"158,341"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2008,"154,876"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2009,"356,010"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2000,"58,051"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2001,"56,650"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2002,"43,614"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2003,"23,331"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2004,"38,763"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2005,"35,405"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2006,"42,961"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2007,"32,911"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2008,"34,046"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2009,"38,029"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2000,"32,100"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2001,"8,556"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2002,"8,699"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2003,"16,707"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2004,"16,913"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2005,"29,312"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2006,"23,997"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2007,"29,149"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2008,"61,270"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2009,"42,496"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 SOUTH,2000,"1,124"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 SOUTH,2001,"1,027"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 SOUTH,2002,368
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 SOUTH,2003,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 SOUTH,2004,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 SOUTH,2005,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 SOUTH,2006,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 SOUTH,2007,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 SOUTH,2008,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 SOUTH,2009,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2000,"7,685"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2001,"10,181"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2002,"8,217"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2003,"6,457"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2004,"10,628"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2005,"11,528"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2006,"12,820"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2007,"11,472"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2008,"21,380"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2009,"11,826"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT ROUGH CANYON ROAD,2000,"101,941"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT ROUGH CANYON ROAD,2001,"90,283"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT ROUGH CANYON ROAD,2002,"63,999"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT ROUGH CANYON ROAD,2003,"42,810"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT ROUGH CANYON ROAD,2004,"59,243"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT ROUGH CANYON ROAD,2005,"54,788"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT ROUGH CANYON ROAD,2006,"63,486"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT ROUGH CANYON ROAD,2007,"61,135"
