,Park Name,Site_Full_Name,Park_Code
1565,Rock Creek Park,Rock Creek Park,ROCR
1572,Rocky Mountain NP,Rocky Mountain National Park,ROMO
1579,Roger Williams NMEM,Roger Williams National Memorial,ROWI
14532,Rosie The Riveter WWII Home Front NHP,Rosie the Riveter WWII Home Front National Historical Park,RORI
7224,Ross Lake NRA,,NOCA
1586,Russell Cave NM,Russell Cave National Monument,RUCA
1593,Sagamore Hill NHS,Sagamore Hill National Historic Site,SAHI
1600,Saguaro NP,Saguaro National Park,SAGU
14625,Saint Croix Island IHS,Saint Croix Island International Historic Site,SACR
1607,Saint Croix NSR,Saint Croix National Scenic Riverway,SACN
7320,Saint Paul's Church NHS,Saint Paul's Church National Historic Site,SAPA
1614,Saint-Gaudens NHP,Saint-Gaudens National Historical Park,SAGA
1621,Salem Maritime NHP,Salem Maritime National Historical Park,SAMA
1628,Salinas Pueblo Missions NM,Salinas Pueblo Missions National Monument,SAPU
14738,Salt River Bay NHP & EPRES,Salt River Bay National Historical Park and Ecological Preserve,SARI
1635,San Antonio Missions NHP,San Antonio Missions National Historical Park,SAAN
7415,San Francisco Maritime NHP,San Francisco Maritime National Historical Park,SAFR
1638,San Juan Island NHP,San Juan Island National Historical Park,SAJH
1645,San Juan NHS,San Juan National Historic Site,SAJU
14838,Sand Creek Massacre NHS,Sand Creek Massacre National Historic Site,SAND
1652,Santa Monica Mountains NRA,Santa Monica Mountains National Recreation Area,SAMO
1656,Saratoga NHP,Saratoga National Historical Park,SARA
1663,Saugus Iron Works NHS,Saugus Iron Works National Historic Site,SAIR
1670,Scotts Bluff NM,Scotts Bluff National Monument,SCBL
1677,Sequoia NP,Sequoia & Kings Canyon National Parks,SEKI
1684,Shenandoah NP,Shenandoah National Park,SHEN
1691,Shiloh NMP,Shiloh National Military Park,SHIL
1698,Sitka NHP,Sitka National Historical Park,SITK
1705,Sleeping Bear Dunes NL,Sleeping Bear Dunes National Lakeshore,SLBE
1712,Springfield Armory NHS,Springfield 1908 Race Riot National Monument,SPRA
1719,Statue of Liberty NM,Statue Of Liberty National Monument,STLI
15074,Ste. Genevieve NHP,Ste. Geneviève National Historical Park,STGE
7692,Steamtown NHS,Steamtown National Historic Site,STEA
1726,Stones River NB,Stones River National Battlefield,STRI
15116,Stonewall NM,Stonewall National Monument,STON
1733,Sunset Crater Volcano NM,Sunset Crater Volcano National Monument,SUCR
7749,Tallgrass Prairie NPRES,Tallgrass Prairie National Preserve,TAPR
1740,Thaddeus Kosciuszko NMEM,Thaddeus Kosciuszko National Memorial,THKO
1745,Theodore Roosevelt Birthplace NHS,Theodore Roosevelt Birthplace National Historic Site,THRB
1752,Theodore Roosevelt Inaugural NHS,Theodore Roosevelt Inaugural National Historic Site,THRI
1759,Theodore Roosevelt Island,Theodore Roosevelt Island,THIS
1766,Theodore Roosevelt NP,Theodore Roosevelt National Park,THRO
1773,Thomas Edison NHP,Thomas Edison National Historical Park,EDIS
1780,Thomas Jefferson MEM,Thomas Jefferson Memorial,THJE
7897,Thomas Stone NHS,Thomas Stone National Historic Site,THST
1787,Timpanogos Cave NM,Timpanogos Cave National Monument,TICA
7931,Timucuan EHP,Timucuan Ecological & Historic Preserve,TIMU
1794,Tonto NM,Tonto National Monument,TONT
15385,Tule Lake NM,Tule Lake National Monument,TULE
15388,Tule Springs Fossil Beds NM,Tule Springs Fossil Beds National Monument,TUSK
1801,Tumacacori NHP,Tumacácori National Historical Park,TUMA
7985,Tuskegee Airmen NHS,Tuskegee Airmen National Historic Site,TUAI
1808,Tuskegee Institute NHS,Tuskegee Institute National Historic Site,TUIN
1815,Tuzigoot NM,Tuzigoot National Monument,TUZI
8028,Ulysses S. Grant NHS,Ulysses S Grant National Historic Site,ULSG
1822,Upper Delaware S&RR,Upper Delaware Scenic & Recreational River,UPDE
15513,Valles Caldera NPRES,Valles Caldera National Preserve,VALL
1828,Valley Forge NHP,Valley Forge National Historical Park,VAFO
1835,Vanderbilt Mansion NHS,Vanderbilt Mansion National Historic Site,VAMA
1842,Vicksburg NMP,Vicksburg National Military Park,VICK
1849,Vietnam Veterans MEM,Vietnam Veterans Memorial,VIVE
1851,Virgin Islands NP,Virgin Islands National Park,VIIS
1858,Voyageurs NP,Voyageurs National Park,VOYA
15639,Waco Mammoth NM,Waco Mammoth National Monument,WACO
1865,Walnut Canyon NM,Walnut Canyon National Monument,WACA
1872,War in the Pacific NHP,War In The Pacific National Historical Park,WAPA
1873,Washington Monument,Washington Monument,WAMO
8243,Washita Battlefield NHS,Washita Battlefield National Historic Site,WABA
8247,Weir Farm NHP,Weir Farm National Historical Park,WEFA
1880,Whiskeytown NRA,Whiskeytown National Recreation Area,WHIS
1887,White House,The White House and President's Park,WHHO
1894,White Sands NP,White Sands National Park,WHSA
1901,Whitman Mission NHS,Whitman Mission National Historic Site,WHMI
1908,William Howard Taft NHS,William Howard Taft National Historic Site,WIHO
1915,Wilson's Creek NB,Wilson's Creek National Battlefield,WICR
1922,Wind Cave NP,Wind Cave National Park,WICA
1929,Wolf Trap NP for the Performing Arts,Wolf Trap National Park for the Performing Arts,WOTR
1936,Women's Rights NHP,Women's Rights National Historical Park,WORI
15930,World War I MEM,World War I Memorial,WWIM
8440,World War II MEM,World War II Memorial,WWII
1939,Wrangell-St. Elias NP & PRES,Wrangell - St Elias National Park & Preserve,WRST
1943,Wright Brothers NMEM,Wright Brothers National Memorial,WRBR
1950,Wupatki NM,Wupatki National Monument,WUPA
1957,Yellowstone NP,Yellowstone National Park,YELL
1964,Yosemite NP,Yosemite National Park,YOSE
1971,Yukon-Charley Rivers NPRES,Yukon - Charley Rivers National Preserve,YUCH
1975,Zion NP,Zion National Park,ZION
