,,,,,,,,,,,
Annual Visitation Report by Years: 1965 to 1985,,,,,,,,,,,
,,,,,,,,,,,
,"This report will not correctly export to CSV. Please export to Excel, Word, or PDF if you wish to save this report.",,,,,,,,,,
,,,,,,,,,,,
,,Recreational Visits,,,,,,,,,
,Park Name,1979,1980,1981,1982,1983,1984,1985,Average,,
,Hopewell Culture NHP,"51,514","57,151","59,737","43,606","43,013","42,420","39,632","48,153",,
,Hopewell Furnace NHS,"133,450","163,074","143,430","150,975","162,159","149,820","154,027","150,991",,
,Horseshoe Bend NMP,"50,566","44,323","78,388","57,539","62,514","62,374","62,549","59,750",,
,Hot Springs NP,"1,118,800","1,160,588","1,177,911","1,015,580","1,160,008","1,071,853","1,112,764","1,116,786",,
,Hovenweep NM,"14,815","13,591","13,628","13,532","13,837","14,322","14,601","14,047",,
,Hubbell Trading Post NHS,"36,344","106,358","164,551","161,461","147,318","144,755","120,473","125,894",,
,Independence NHP,"2,002,333","2,033,208","1,567,871","4,318,501","4,767,889","4,827,270","4,867,399","3,483,496",,
,Indiana Dunes NP,"1,606,166","1,222,874","1,023,436","1,066,573","1,510,630","1,560,428","1,800,326","1,398,633",,
,Isle Royale NP,"14,782","14,977","14,558","13,238","12,928","11,814","16,775","14,153",,
,Jean Lafitte NHP & PRES,"193,121","271,217","375,883","377,209","535,196","849,004","713,850","473,640",,
,Jewel Cave NM,"76,921","90,198","105,448","87,417","89,412","101,578","128,650","97,089",,
,"John D. Rockefeller, Jr. MEM PKWY","1,356,044","1,303,756","1,515,176","1,495,262","1,105,434","1,051,297","1,082,832","1,272,829",,
,John Day Fossil Beds NM,"90,547","101,167","111,410","106,123","109,694","101,783","101,566","103,184",,
,John F. Kennedy NHS,"19,308","17,299","17,757","16,829","18,269","18,907","17,438","17,972",,
,John Muir NHS,"24,911","27,449","27,070","33,015","28,118","32,207","33,954","29,532",,
,Johnstown Flood NMEM,"42,201","33,164","36,124","44,183","38,064","56,560","50,796","43,013",,
,Joshua Tree NP,"590,543","545,357","612,966","673,201","671,426","663,798","641,172","628,352",,
,Katmai NP & PRES,"10,659","11,824","13,115","14,377","11,182","20,074","25,142","15,196",,
,Kenai Fjords NP,,,,"16,118","24,048","30,703","35,758","26,657",,
,Kennesaw Mountain NBP,"876,352","934,778","1,009,433","963,835","946,672","913,604","776,340","917,288",,
,Kings Canyon NP,"804,175","819,065","776,850","831,044","765,755","937,262","874,456","829,801",,
,Kings Mountain NMP,"212,876","214,931","223,851","213,630","224,512","232,275","212,605","219,240",,
,Klondike Gold Rush NHP Alaska,,,,"49,688","52,155","61,752","81,954","61,387",,
,Klondike Gold Rush NHP Seattle,"37,595","48,442","56,182","53,084","52,551","62,830","59,847","52,933",,
,Knife River Indian Villages NHS,,,"4,616","4,858","8,373","7,895","12,391","7,627",,
,Kobuk Valley NP,,,,"3,775","2,365","1,075","1,305","2,130",,
