,Code_Year,Visitors,Visitors Scaled,vis_annual_chg,vis_annual_chg_pct,Designation,Gross Area Acres,Region,cei_pct_area,RONI,Visitor Trend Cat,Visitor Trend Bins,Visitor Trend Chg,Visitor Trend UpDn,Visitor Trend SigChg,RONI Event,RONI Intensity,RONI Desc,CEI Cat,GAA Cat,Desig Code,Region Code,Vis Trend Code,RONI Event Code,RONI Int Code,CEI Cat Code,GAA Cat Code
95,ADAM-1983,26162.0,0.0012019014317704785,722.0,0.02838050314465409,National Historical Park,23.82,Northeast,0.065,2.5,Minimal Change,0,0,1,0,El Niño,Very Strong,Very Strong El Niño,Nominal,Small,8,1,2,0,3,2,3
96,ADAM-1984,23398.0,0.001074921248397128,-2764.0,-0.10564941518232551,National Historical Park,23.82,Northeast,0.0318,-0.5,Decrease,-1,1,0,0,La Niña,Weak,Weak La Niña,Nominal,Small,8,1,0,1,4,2,3
97,ADAM-1985,24555.0,0.0011280746753735992,1157.0,0.04944867082656637,National Historical Park,23.82,Northeast,0.1192,-0.8,Minimal Change,0,0,1,0,La Niña,Weak,Weak La Niña,Nominal,Small,8,1,2,1,4,2,3
98,ADAM-1986,24693.0,0.0011344144963958576,138.0,0.00562003665241295,National Historical Park,23.82,Northeast,0.0622,-0.3,Minimal Change,0,0,1,0,Neutral,Neutral,Neutral,Nominal,Small,8,1,2,2,1,2,3
99,ADAM-1987,25617.0,0.0011768637328057622,924.0,0.03741951160247844,National Historical Park,23.82,Northeast,0.053,1.6,Minimal Change,0,0,1,0,El Niño,Strong,Strong El Niño,Nominal,Small,8,1,2,0,2,2,3
100,ADAM-1988,21617.0,0.0009931008046243574,-4000.0,-0.15614630909161883,National Historical Park,23.82,Northeast,0.0602,0.7,Decrease,-1,1,0,0,El Niño,Weak,Weak El Niño,Nominal,Small,8,1,0,0,4,2,3
101,ADAM-1989,22595.0,0.0010380308405647108,978.0,0.045242170513947355,National Historical Park,23.82,Northeast,0.1298,-1.7,Minimal Change,0,0,1,0,La Niña,Strong,Strong La Niña,Nominal,Small,8,1,2,1,2,2,3
102,ADAM-1990,20315.0,0.00093328597150131,-2280.0,-0.10090728037176366,National Historical Park,23.82,Northeast,0.3194,0.2,Decrease,-1,1,0,0,Neutral,Neutral,Neutral,Increased,Small,8,1,0,2,1,1,3
103,ADAM-1991,26958.0,0.0012384702544785782,6643.0,0.326999753876446,National Historical Park,23.82,Northeast,0.2724,0.6,Increase,1,1,1,0,El Niño,Weak,Weak El Niño,Increased,Small,8,1,1,0,4,1,3
104,ADAM-1992,27400.0,0.0012587760580426235,442.0,0.016395875064915796,National Historical Park,23.82,Northeast,0.1628,2.3,Minimal Change,0,0,1,0,El Niño,Very Strong,Very Strong El Niño,Nominal,Small,8,1,2,0,3,2,3
105,ADAM-1993,43877.0,0.0020157414999538753,16477.0,0.6013503649635037,National Historical Park,23.82,Northeast,0.021,0.5,Increase,1,1,1,0,El Niño,Weak,Weak El Niño,Nominal,Small,8,1,1,0,4,2,3
