,Att Chg,Visitors Scaled,Area Scaled,cei_pct_area,RONI,Region_Northeast,Region_Northern Rockies and Plains,Region_Northwest,Region_Ohio Valley,Region_South,Region_Southeast,Region_Southwest,Region_West
158,1,0.28634915419831486,0.001290334359142278,0.1158,-1.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,0,0.2314927683228601,0.001290334359142278,0.21960000000000002,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,0,0.21043830544995604,0.001290334359142278,0.155,-0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,0,0.18898705812016003,0.001290334359142278,0.3132,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,1,0.22170214690068227,0.001290334359142278,0.2168,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,1,0.23277110128600928,0.001290334359142278,0.2868,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,0,0.2271796651938361,0.001290334359142278,0.637,-0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,1,0.25527973946824106,0.001290334359142278,0.10679999999999999,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,1,0.260841965868358,0.001290334359142278,0.2352,-1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,0,0.2517905833327394,0.001290334359142278,0.1592,-0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,0,0.24074593141120318,0.001290334359142278,0.33880000000000005,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,1,0.2974897307485638,0.001290334359142278,0.6314,-1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,1,0.3071765993445579,0.001290334359142278,0.47479999999999994,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,0,0.2624052685872078,0.001290334359142278,0.1646,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,1,0.2893019035488958,0.001290334359142278,0.1074,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,0,0.2643875551289123,0.001290334359142278,0.18,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,1,0.3031375999657896,0.001290334359142278,0.3778,2.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,1,0.40024358546399535,0.001290334359142278,0.299,-0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,0,0.3567369175339122,0.001290334359142278,0.3496,-1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,1,0.374098340620762,0.001290334359142278,0.3968,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,0,0.03238420138890917,0.001290334359142278,0.4376,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,1,0.12831350365232147,0.001290334359142278,0.547,-1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,1,0.24807744727855052,0.001290334359142278,0.2064,-1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
