,Park_Code,Designation,Region,Gross Area Acres,Year,Percentage Area
370,AFBG,National Monument,Northeast,0.35,1932,0.1076
371,AFBG,National Monument,Northeast,0.35,1933,0.071
372,AFBG,National Monument,Northeast,0.35,1934,0.2278
373,AFBG,National Monument,Northeast,0.35,1935,0.1268
374,AFBG,National Monument,Northeast,0.35,1936,0.1052
375,AFBG,National Monument,Northeast,0.35,1937,0.1142
376,AFBG,National Monument,Northeast,0.35,1938,0.0626
377,AFBG,National Monument,Northeast,0.35,1939,0.0736
378,AFBG,National Monument,Northeast,0.35,1940,0.4138
379,AFBG,National Monument,Northeast,0.35,1941,0.1902
380,AFBG,National Monument,Northeast,0.35,1942,0.09960000000000001
381,AFBG,National Monument,Northeast,0.35,1943,0.17120000000000002
382,AFBG,National Monument,Northeast,0.35,1944,0.06860000000000001
383,AFBG,National Monument,Northeast,0.35,1945,0.171
384,AFBG,National Monument,Northeast,0.35,1946,0.1462
385,AFBG,National Monument,Northeast,0.35,1947,0.0184
386,AFBG,National Monument,Northeast,0.35,1948,0.1304
387,AFBG,National Monument,Northeast,0.35,1949,0.2144
388,AFBG,National Monument,Northeast,0.35,1950,0.1576
389,AFBG,National Monument,Northeast,0.35,1951,0.0674
390,AFBG,National Monument,Northeast,0.35,1952,0.12560000000000002
391,AFBG,National Monument,Northeast,0.35,1953,0.22899999999999998
392,AFBG,National Monument,Northeast,0.35,1954,0.1882
393,AFBG,National Monument,Northeast,0.35,1955,0.132
394,AFBG,National Monument,Northeast,0.35,1956,0.1348
395,AFBG,National Monument,Northeast,0.35,1957,0.16579999999999998
396,AFBG,National Monument,Northeast,0.35,1958,0.2858
397,AFBG,National Monument,Northeast,0.35,1959,0.0008
398,AFBG,National Monument,Northeast,0.35,1960,0.0746
399,AFBG,National Monument,Northeast,0.35,1961,0.013600000000000001
400,AFBG,National Monument,Northeast,0.35,1962,0.2432
401,AFBG,National Monument,Northeast,0.35,1963,0.2746
402,AFBG,National Monument,Northeast,0.35,1964,0.1632
403,AFBG,National Monument,Northeast,0.35,1965,0.157
404,AFBG,National Monument,Northeast,0.35,1966,0.1684
405,AFBG,National Monument,Northeast,0.35,1967,0.10060000000000001
406,AFBG,National Monument,Northeast,0.35,1968,0.0558
407,AFBG,National Monument,Northeast,0.35,1969,0.0168
408,AFBG,National Monument,Northeast,0.35,1970,0.0126
409,AFBG,National Monument,Northeast,0.35,1971,0.0762
410,AFBG,National Monument,Northeast,0.35,1972,0.3762
411,AFBG,National Monument,Northeast,0.35,1973,0.24719999999999998
412,AFBG,National Monument,Northeast,0.35,1974,0.0974
413,AFBG,National Monument,Northeast,0.35,1975,0.1448
414,AFBG,National Monument,Northeast,0.35,1976,0.2434
415,AFBG,National Monument,Northeast,0.35,1977,0.1834
416,AFBG,National Monument,Northeast,0.35,1978,0.26899999999999996
417,AFBG,National Monument,Northeast,0.35,1979,0.19399999999999998
418,AFBG,National Monument,Northeast,0.35,1980,0.10619999999999999
419,AFBG,National Monument,Northeast,0.35,1981,0.068
420,AFBG,National Monument,Northeast,0.35,1982,0.06480000000000001
421,AFBG,National Monument,Northeast,0.35,1983,0.065
422,AFBG,National Monument,Northeast,0.35,1984,0.0318
423,AFBG,National Monument,Northeast,0.35,1985,0.1192
424,AFBG,National Monument,Northeast,0.35,1986,0.0622
425,AFBG,National Monument,Northeast,0.35,1987,0.053
426,AFBG,National Monument,Northeast,0.35,1988,0.0602
427,AFBG,National Monument,Northeast,0.35,1989,0.1298
428,AFBG,National Monument,Northeast,0.35,1990,0.3194
429,AFBG,National Monument,Northeast,0.35,1991,0.2724
430,AFBG,National Monument,Northeast,0.35,1992,0.1628
431,AFBG,National Monument,Northeast,0.35,1993,0.021
432,AFBG,National Monument,Northeast,0.35,1994,0.1168
433,AFBG,National Monument,Northeast,0.35,1995,0.064
434,AFBG,National Monument,Northeast,0.35,1996,0.31079999999999997
