,cei_pct_area,RONI,Gross Area Acres,Desig_NatlPark,Region_Multiple,Region_Northeast,Region_Northern Rockies and Plains,Region_Northwest,Region_Ohio Valley,Region_South,Region_Southeast,Region_Southwest,Region_Upper Midwest,Region_West
4530,0.637,-0.9,0.45,0,False,True,False,False,False,False,False,False,False,False
8829,0.18,-0.7,14062.19,0,False,False,False,True,False,False,False,False,False,False
15403,0.4192,-0.7,200454.01,1,False,False,False,False,False,False,True,False,False,False
1124,0.43560000000000004,0.6,146110.69,0,False,False,False,False,False,False,True,False,False,False
2268,0.1998,-1.7,268.49,0,False,False,False,False,False,False,True,False,False,False
6305,0.1628,2.3,0.76,0,False,True,False,False,False,False,False,False,False,False
17298,0.4412,2.2,138.53,0,False,False,False,True,False,False,False,False,False,False
2521,0.4192,-0.7,5890.92,0,False,False,False,False,False,False,True,False,False,False
15958,0.0676,-0.2,88.5,0,False,False,False,False,False,False,True,False,False,False
14784,0.1202,-0.6,1071.42,0,False,False,False,False,False,False,False,True,False,False
7456,0.43560000000000004,0.6,1175.98,0,False,False,False,False,False,False,True,False,False,False
8390,0.2554,-1.4,16034.81,1,False,False,False,False,True,False,False,False,False,False
17106,0.1656,0.2,42503.25,0,False,False,False,False,False,False,False,False,False,True
10424,0.3654,2.5,199.96,0,False,False,False,True,False,False,False,False,False,False
14612,0.385,0.6,68738.95,0,False,False,False,False,False,False,False,False,True,False
7230,0.2036,-0.8,1618.43,0,False,False,True,False,False,False,False,False,False,False
4467,0.4142,0.6,1400539.3,1,False,False,False,False,False,False,True,False,False,False
17171,0.15380000000000002,0.3,18.07,0,False,False,False,False,False,False,True,False,False,False
7968,0.2168,0.3,838.43,0,False,True,False,False,False,False,False,False,False,False
7070,0.3454,-0.9,23777.22,1,False,False,True,False,False,False,False,False,False,False
6712,0.17980000000000002,-0.8,1013126.39,1,False,False,True,False,False,False,False,False,False,False
8646,0.1446,-1.7,310044.36,1,False,False,True,False,False,False,False,False,False,False
13303,0.6265999999999999,-0.5,26685.73,1,False,False,False,False,False,False,False,False,False,True
9446,0.1744,-0.8,404062.63,1,False,False,False,False,False,False,False,False,False,True
