,Park_Code,Visitors,Designation,Gross Area Acres,State List,State Count,CEI Region
192,HOFR,159648.40425531915,National Historic Site,838.43,NY,1,Northeast
193,HOFU,81994.82978723405,National Historic Site,848.06,PA,1,Northeast
194,HOME,49491.70212765958,National Historical Park,210.45,NE,1,Northern Rockies and Plains
195,HOSP,1455157.6170212766,National Park,5554.15,AR,1,South
196,HOVE,26768.23404255319,National Monument,784.93,"CO,UT",2,Southwest
197,HSTR,48142.46808510638,National Historic Site,13.67,MO,1,Ohio Valley
198,HUTR,128789.93617021276,National Historic Site,160.09,AZ,1,Southwest
199,IATR,2941.8,National Scenic Trail,235.16,WI,1,Upper Midwest
200,INDE,3573091.489361702,National Historical Park,44.87,PA,1,Northeast
201,INDU,1887907.170212766,National Park,16034.81,IN,1,Ohio Valley
202,ISRO,20500.872340425532,National Park,571790.3,MI,1,Upper Midwest
203,JAGA,19058.075,National Historic Site,7.82,OH,1,Ohio Valley
204,JAZZ,38349.05,National Historical Park,5.13,LA,1,South
205,JECA,118947.29787234042,National Monument,1273.51,SD,1,Northern Rockies and Plains
206,JEFF,2415020.5531914895,National Park,192.83,MO,1,Ohio Valley
207,JELA,584506.5957446808,National Historical Park and Preserve,25875.4,LA,1,South
208,JICA,49217.75,National Historical Park,78.35,GA,1,Southeast
209,JODA,129716.48936170213,National Monument,14062.19,OR,1,Northwest
210,JOFI,14782.468085106382,National Historic Site,0.09,MA,1,Northeast
211,JOFL,118613.89361702128,National Memorial,177.76,PA,1,Northeast
212,JOMU,33466.914893617024,National Historic Site,388.5,CA,1,West
213,JOTR,1513777.7234042552,National Park,795155.85,CA,1,West
214,KAHO,121578.4,National Historical Park,1163.05,HI,1,OCONUS
215,KALA,42545.575,National Historical Park,10778.88,HI,1,OCONUS
216,KATM,39184.51063829787,National Park & Preserve,418698.8,AK,1,OCONUS
217,KATM,39184.51063829787,National Park & Preserve,3674529.33,AK,1,OCONUS
218,KAWW,11580.55,National Monument,87564.27,ME,1,Northeast
219,KEAQ,1352338.0212765958,Undesignated,2935.1,DC,1,Southeast
220,KEFJ,216995.25531914894,National Park,669650.05,AK,1,OCONUS
221,KEMO,9889.25,National Battlefield Park,1870.0,GA,1,Southeast
222,KIMO,243541.27659574468,National Military Park,3945.29,SC,1,Southeast
223,KLGO,73487.65957446808,National Historical Park,12996.49,AK,1,OCONUS
224,KLSE,574535.3829787234,National Historical Park,12996.49,WA,1,Northwest
225,KNRI,16952.063829787236,National Historic Site,1751.0,ND,1,Northern Rockies and Plains
226,KOVA,6066.872340425532,National Park,1750716.16,AK,1,OCONUS
227,KOWA,2439515.65,Undesignated,1.56,DC,1,Southeast
228,LABE,111344.85106382979,National Monument,46692.42,CA,1,West
229,LACL,10951.255319148937,National Park & Preserve,1410293.68,AK,1,OCONUS
230,LACL,10951.255319148937,National Park & Preserve,2619816.49,AK,1,OCONUS
231,LAKE,7500626.085106383,National Recreation Area,1495855.53,"AZ,NV",2,Multiple
232,LAMR,1279637.0,National Recreation Area,44977.63,TX,1,South
233,LARO,1226968.574468085,National Recreation Area,100390.31,WA,1,Northwest
234,LAVO,420819.27659574465,National Park,106589.02,CA,1,West
235,LECL,217012.8510638298,National Historic Trail,3409.28,"IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV",16,Multiple
236,LEWI,158961.5744680851,National Historical Park,199.96,"OR,WA",2,Northwest
237,LIBI,282308.27659574465,National Monument,765.34,MT,1,Northern Rockies and Plains
238,LIBO,351397.57446808513,National Memorial,12.24,IN,1,Ohio Valley
239,LINC,4418627.893617021,Undesignated,7.29,DC,1,Southeast
240,LIRI,231431.0,National Preserve,15293.88,AL,1,Southeast
241,LONG,30760.40425531915,National Historic Site,1.98,MA,1,Northeast
242,LOWE,517532.3617021277,National Historical Park,138.72,MA,1,Northeast
243,LYBA,444363.93617021275,Undesignated,17.0,DC,1,Southeast
244,LYJO,160200.3829787234,National Historical Park,1571.75,TX,1,South
245,MABI,29137.575,National Historical Park,643.07,VT,1,Northeast
246,MACA,1268216.4680851065,National Park,72041.73,KY,1,Ohio Valley
247,MALU,667307.9361702128,National Historical Park,39.17,GA,1,Southeast
248,MAMC,5474.55,National Historic Site,0.07,DC,1,Southeast
249,MANA,686062.0,National Battlefield Park,5086.87,VA,1,Southeast
250,MANZ,54634.9,National Historic Site,813.81,CA,1,West
251,MAPR,29981.5,National Historical Park,113.61,"NM,WA,TN",3,Multiple
252,MAVA,14699.234042553191,National Historic Site,284.93,NY,1,Northeast
253,MAWA,6818.531914893617,National Historic Site,1.29,VA,1,Southeast
254,MEMY,10226.55,National Monument,0.74,MS,1,South
255,MEVE,562986.1063829787,National Park,52485.17,CO,1,Southwest
256,MIIN,7813.1,National Historic Site,396.3,"ID,WA",2,Northwest
257,MIMA,1007763.4468085107,National Historical Park,1027.76,MA,1,Northeast
258,MIMI,44032.0,National Historic Site,43.8,SD,1,Northern Rockies and Plains
259,MISP,1412.8,National Monument,1454.23,KY,1,Ohio Valley
260,MISS,175875.0,National River & Recreation Area,53775.0,MN,1,Upper Midwest
261,MLKM,2278136.55,Undesignated,2.74,DC,1,Southeast
262,MNRR,77149.875,National Recreational River,48456.55,"SD,NE",2,Northern Rockies and Plains
263,MOCA,601979.4042553192,National Monument,1015.52,AZ,1,Southwest
264,MOCR,60493.51063829787,National Battlefield,87.75,NC,1,Southeast
265,MOJA,434062.45,National Preserve,1549966.76,CA,1,West
266,MONO,45130.35,National Battlefield,1646.87,MD,1,Southeast
267,MORA,1314261.8936170214,National Park,236381.64,WA,1,Northwest
268,MORR,419307.78723404254,National Historical Park,1710.72,NJ,1,Northeast
269,MORU,1949945.914893617,National Memorial,1278.45,SD,1,Northern Rockies and Plains
270,MUWO,1068099.7872340425,National Monument,553.55,CA,1,West
271,NABR,95486.08510638298,National Monument,7636.49,UT,1,Southwest
272,NACE,938367.7,Undesignated,8517.28,DC,1,Southeast
273,NAMA,1234767.45,Undesignated,155.84,DC,1,Southeast
274,NATC,144289.825,National Historical Park,122.22,MS,1,South
275,NATR,7321651.659574468,Parkway,52380.46,"AL,MS,TN",3,Multiple
276,NAVA,65177.914893617024,National Monument,360.0,AZ,1,Southwest
277,NEBE,142673.8,National Historical Park,34.0,MA,1,Northeast
278,NEPE,232896.8510638298,National Historical Park,4564.93,"ID,MT,OR,WA",4,Multiple
