,Traffic Trend Bins,Region Code,Desig Code,GAA Cat Code,RONI Event Code,RONI Int Code,CEI Cat Code
6337,1,3,4,2,1,0,0
6338,0,3,4,2,1,0,2
6339,0,3,4,2,1,4,2
6340,1,3,4,2,0,0,1
6341,-1,3,4,2,1,0,0
6342,1,7,13,0,1,0,0
6343,0,7,13,0,1,0,2
6344,0,7,13,0,1,4,2
6345,0,7,13,0,0,0,0
6346,0,7,13,0,1,0,0
6347,-1,2,13,5,0,4,1
6348,1,2,13,5,2,1,2
6349,0,2,13,5,0,0,2
6350,0,2,13,5,1,4,1
6351,0,2,13,5,2,1,2
6352,0,2,13,5,0,3,1
6353,-1,2,13,5,1,2,1
6354,-1,2,13,5,1,2,2
6355,0,2,13,5,1,4,1
6356,1,2,13,5,2,1,2
6357,0,2,13,5,0,4,2
6358,0,2,13,5,2,1,2
6359,0,2,13,5,0,4,2
6360,0,2,13,5,1,4,1
6361,0,2,13,5,0,4,1
6362,0,2,13,5,1,2,2
6363,0,2,13,5,1,4,2
6364,0,2,13,5,0,2,1
6365,0,2,13,5,1,0,2
6366,0,2,13,5,1,4,0
6367,0,2,13,5,1,4,2
6368,0,2,13,5,1,4,2
6369,1,2,13,5,0,4,0
6370,0,2,13,5,0,3,0
6371,0,2,13,5,1,4,2
6372,0,2,13,5,1,0,2
6373,0,2,13,5,0,4,0
6374,-1,2,13,5,2,1,2
6375,1,2,13,5,1,0,1
6376,-1,2,13,5,1,0,2
6377,0,2,13,5,1,4,1
6378,-1,2,13,5,0,0,0
6379,1,2,13,5,1,0,1
6380,1,4,2,1,0,3,2
6381,1,4,2,1,0,4,1
6382,0,4,2,1,2,1,2
6383,-1,4,2,1,0,0,2
6384,1,4,2,1,1,4,1
6385,-1,4,2,1,2,1,2
6386,0,4,2,1,0,3,0
6387,-1,4,2,1,1,2,1
6388,1,4,2,1,1,2,2
6389,0,4,2,1,1,4,2
6390,0,4,2,1,2,1,2
6391,0,4,2,1,0,4,1
6392,0,4,2,1,2,1,1
6393,1,4,2,1,0,4,2
6394,-1,4,2,1,1,4,2
6395,-1,4,2,1,0,4,1
6396,1,4,2,1,1,2,1
6397,0,4,2,1,1,4,1
6398,-1,4,2,1,0,2,2
6399,0,4,2,1,1,0,1
6400,-1,4,2,1,1,4,0
6401,0,4,2,1,1,4,2
6402,0,4,2,1,1,4,1
6403,0,4,2,1,0,4,1
6404,1,4,2,1,0,3,1
6405,1,4,2,1,1,4,0
6406,0,4,2,1,1,0,1
6407,0,4,2,1,0,4,0
6408,1,4,2,1,2,1,1
6409,0,4,2,1,1,0,1
6410,0,4,2,1,1,0,2
6411,1,4,2,1,1,4,1
6412,1,4,2,1,0,0,0
6413,0,4,2,1,1,0,2
6414,0,6,8,2,2,1,2
6415,0,6,8,2,0,0,2
6416,-1,6,8,2,1,4,2
6417,0,6,8,2,2,1,2
6418,0,6,8,2,0,3,0
6419,-1,6,8,2,1,2,1
6420,1,6,8,2,1,2,2
6421,0,6,8,2,1,4,2
6422,0,6,8,2,2,1,2
6423,1,6,8,2,0,4,1
6424,-1,6,8,2,2,1,2
6425,0,6,8,2,0,4,2
6426,0,6,8,2,1,4,1
6427,0,6,8,2,0,4,0
6428,0,6,8,2,1,2,2
6429,0,6,8,2,1,4,2
6430,0,6,8,2,0,2,2
6431,0,6,8,2,1,0,1
6432,0,6,8,2,1,4,1
6433,0,6,8,2,1,4,1
